//FromVersion	ToVersion	MapNumber	GroupID	GroupValue	EndofFile
0.0	0.0	1.1.1.100.100.100.050.100.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.100.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.200.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.200.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.220.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.220.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.300.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.300.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.320.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.320.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.350.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.350.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.360.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.360.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.400.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.400.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.600.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.600.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.601.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.601.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.610.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.610.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.611.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.611.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.660.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.660.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.700.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.050.700.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.100.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.100.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.200.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.200.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.220.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.220.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.300.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.300.01000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.320.00000.000	2	4609	
0.0	0.0	1.1.1.100.100.100.100.320.01000.000	2	4609	
